Round,Twitter_F1,News_F1,Reports_F1,Avg_F1
1,0.4736947146042037,0.5751237575461094,0.6085207881666395,0.5524464201056508
2,0.5962994510694681,0.8725497472362647,0.8020095590379387,0.7569529191145571
3,0.621846359798167,0.9210378555607148,0.8355304935631729,0.7928049029740182
4,0.6312419003501807,0.924028628705993,0.832222298885958,0.7958309426473772
5,0.6351466535892766,0.9282962230675056,0.8348746936610114,0.7994391901059311
6,0.6281503408309187,0.9718178609991256,0.8590790750012012,0.8196824256104152
7,0.6275039407997655,0.974072888024207,0.8629768535534125,0.8215178941257949
8,0.630613131496512,0.9603722978223028,0.8586151875737008,0.816533538964172
9,0.6305884074565163,0.9649421894708804,0.8578288371886197,0.8177864780386721
10,0.6309838007765305,0.975197788675408,0.8637008336082718,0.82329414102007
